zip_level,zip_code,zip5,name,latitude,longitude
zip5,15301,15301,15301,40.157203,-80.237430
zip5,15658,15658,15658,40.259068,-79.198748
zip5,15601,15601,15601,40.334474,-79.523879
zip5,17720,17720,17720,41.173842,-77.212722
zip5,18843,18843,18843,41.798825,-75.897733
zip5,30114,30114,30114,34.254776,-84.536357
zip5,30281,30281,30281,33.554045,-84.210206
zip5,31044,31044,31044,32.634779,-83.363676
zip5,31419,31419,31419,31.985757,-81.240732
zip5,30137,30137,30137,34.128616,-84.755879
zip5,30184,30184,30184,34.257115,-84.711471
zip5,31519,31519,31519,31.682606,-82.862250
zip5,30427,30427,30427,31.897464,-81.963612
zip5,30824,30824,30824,33.498760,-82.504825
zip5,89421,89421,89421,42.051300,-117.913803
zip5,48225,48225,48225,42.428783,-82.924828
zip5,08072,08072,08072,39.546962,-75.411849
zip5,07821,07821,07821,40.966800,-74.729692
zip5,08820,08820,08820,40.589106,-74.363141
zip5,63556,63556,63556,40.197683,-93.161339
zip5,63456,63456,63456,39.674819,-91.697513
zip5,98563,98563,98563,47.193185,-123.582602
zip5,64083,64083,64083,38.788577,-94.448544
zip5,65667,65667,65667,37.310037,-92.541100
zip5,65041,65041,65041,38.632177,-91.494244
zip5,59010,59010,59010,45.992616,-107.321533
zip5,59432,59432,59432,48.145973,-112.581592
zip5,59316,59316,59316,45.330910,-105.019743
zip5,59812,59812,59812,46.861555,-113.983136
zip5,37705,37705,37705,36.232375,-83.996080
zip5,38464,38464,38464,35.281373,-87.421086
zip5,37327,37327,37327,35.429970,-85.399237
zip5,37064,37064,37064,35.886354,-86.976662
zip5,38501,38501,38501,36.234049,-85.550573
zip5,37385,37385,37385,35.341456,-84.211206
zip5,37185,37185,37185,36.028073,-87.807321
zip5,37847,37847,37847,36.425198,-84.318143
zip5,37032,37032,37032,36.547948,-86.986273
zip5,28560,28560,28560,35.143256,-76.953863
zip5,62663,62663,62663,39.544260,-90.325873
zip5,60091,60091,60091,42.077752,-87.729692
zip5,40014,40014,40014,38.348026,-85.425882
zip5,41701,41701,41701,37.316414,-83.369773
zip5,40828,40828,40828,36.879036,-83.147685
zip5,40330,40330,40330,37.797329,-84.857796
zip5,41041,41041,41041,38.399373,-83.696036
